Algorithm,Best Case,Average Case,Worst Case,Space Complexity
Bubble Sort,O(n),O(n²),O(n²),O(1)
Insertion Sort,O(n),O(n²),O(n²),O(1)
Merge Sort,O(n log n),O(n log n),O(n log n),O(n)
Quick Sort,O(n log n),O(n log n),O(n²),O(log n)
Recursive Fibonacci,O(2^n),O(2^n),O(2^n),O(n)
Iterative Fibonacci,O(n),O(n),O(n),O(1)
Dynamic Programming Fibonacci,O(n),O(n),O(n),O(n)
